,id,icon,site,country,missed,total,missed_count,missed_percent
190,GOLD.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/12104.jpg?90036,,uk,True,1.0,1.0,100.0
191,DAZN.de,http://icon-tmdb.me/stalker_portal/misc/logos/320/12401.jpg?56521,,de,True,1.0,1.0,100.0
192,CITV.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/12013.jpg?78648,,uk,True,1.0,1.0,100.0
193,SkyCinemaSpecial.de,http://icon-tmdb.me/stalker_portal/misc/logos/320/6465.jpg?52209,,de,True,1.0,1.0,100.0
194,HorrorChannel.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/12148.jpg?13628,,uk,True,1.0,1.0,100.0
195,SkyCinemaBestOf.de,http://icon-tmdb.me/stalker_portal/misc/logos/320/6467.jpg?49881,,de,True,1.0,1.0,100.0
196,CTS.tw,http://icon-tmdb.me/stalker_portal/misc/logos/320/8454.png?54475,,tw,True,1.0,1.0,100.0
197,CreateCraft.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/8563.jpg?36094,,uk,True,1.0,1.0,100.0
198,CrimeInvestigation.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/7953.jpg?79027,,uk,True,1.0,1.0,100.0
199,DAZN1.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/12401.jpg?80901,,uk,True,1.0,1.0,100.0
200,FilmboxExtra.cz,http://logo.protv.cc/picons/logos/FILMBOX-EXTRA.png,,cz,True,1.0,1.0,100.0
201,VT2.cz,http://icon-tmdb.me/stalker_portal/misc/logos/320/10095.png?30597,,cz,True,1.0,1.0,100.0
202,VT1.cz,http://icon-tmdb.me/stalker_portal/misc/logos/320/10094.jpg?22447,,cz,True,1.0,1.0,100.0
203,Dave.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/12135.jpg?71252,,uk,True,1.0,1.0,100.0
204,CBSDrama.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/8290.jpg?37614,,uk,True,1.0,1.0,100.0
205,Syfy.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/6611.png?66168,,uk,True,1.0,1.0,100.0
206,UPNetwork.cz,http://logo.protv.cc/picons/logos/UP-NETWORK-CZ.png,,cz,True,1.0,1.0,100.0
207,SkyCinemaFamily.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/6473.jpg?42109,,uk,True,1.0,1.0,100.0
208,SkyCinemaPremiere.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/6473.jpg?42109,,uk,True,1.0,1.0,100.0
209,SkyCinemaThriller.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/6473.jpg?42109,,uk,True,1.0,1.0,100.0
210,SkySportsArena.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/12258.png?37205,,uk,True,1.0,1.0,100.0
